word,meaning,image 
engrossing,"{'Verb': ['devote (oneself', ""consume all of one's attention or time""], 'Adjective': ['capable of arousing and holding the attention']}",https://pixabay.com/get/gc9b66c034908030c7ef5ccc2879caf92c5a8cf28ec7e36812c82be90ec7dff4944a719ed6a5d14df9ecd596bdbe0f7c79dc2fb8112da2c3560f01a3695eafd7f_1280.jpg
engulf,"{'Verb': ['devote (oneself', 'flow over or cover completely']}",https://pixabay.com/get/gf6d65187c8e09f3c2f5549136628bb9359072358d71a02c57d75b48bc87b9bedd992b754284d56d0d9dab1084138550877d24cd2257356885af1d7f8432ada4e_1280.jpg
enmity,"{'Noun': ['a state of deep-seated ill-will', 'the feeling of a hostile person']}",https://pixabay.com/get/g1fe43c625423f7d406502ad61408d570ba33a8ab28187eb183908417bee0b2540a42c6d4b65c3d014367fd47cd4361090724caaf86baa70671a0eb45fc81f72e_1280.jpg
annui,,https://pixabay.com/get/gb3e25ed8ce7072530c147ad2566bc4ebe38e6c51f7d96c8e8366a882c0debebc6b3f7ed4a95af2cb11108e17c7f50a989297a8d2d382e5ae54410824b7f55c22_1280.jpg
enormin,,
ensian,,
entangle,"{'Verb': ['entrap', 'twist together or entwine into a confusing mass']}",https://pixabay.com/get/g5323ce5fdcd2795b11786406883c247007c90ee430640181c99a4dac6b5006a0a4aee52bb6c5001a9c32e8b8b7f754c6536ae6dbe013e57948b04ff55f5fd501_1280.jpg
anthril,,
entice,{'Verb': ['provoke someone to do something through (often false or exaggerated']},https://pixabay.com/get/g6323bae08325a74040ccebecdec04619450b956dbcf65a77232bdf88b3ccc929e295c5ecc09ed0510b4e6260705b625fd81b3b84469c6a5eeb230acaa111c51e_1280.jpg
antreat,,
enunciate,"{'Verb': ['speak, pronounce, or utter in a certain way', 'express or state clearly']}",
cntvinc,,
epitome,"{'Noun': ['a standard or typical example', 'a brief abstract (as of an article or book']}",https://pixabay.com/get/g9a569f40e8278095ce6f04622abc1e0d2045a6411c0fd90cfc02513eaa9672dafd66f51e725aa4e00726a06caef01d6bd8fed806f6978da329a7bb4ed16d9d8d_1280.jpg
equable,"{'Adjective': ['not varying', 'not easily irritated']}",https://pixabay.com/get/gc1456f3c884b83e2daf057955346e0c5d48bdaadc3eee933c087d10e2b872dd3198feb3ad7285465a30db7450870c5bbda4abde331ad41266ece59033e178c4e_1280.jpg
equilibrium,"{'Noun': ['a stable situation in which forces cancel one another', 'a chemical reaction and its reverse proceed at equal rates', 'equality of distribution', 'a sensory system located in structures of the inner ear that registers the orientation of the head']}",https://pixabay.com/get/gdc7ab9d5544860e16962c9e340ce12dbb069b2427b99802e64f51217410226cf6b6239fcf8c253f960b9c0dd403437a9e2b1e6b7c9888e343e4f0b8d025d531d_1280.jpg
eradicate,"{'Verb': ['kill in large numbers', 'destroy completely, as if down to the roots']}",https://pixabay.com/get/g631b5842601360aac68156a9291bf898877885d8fa1a5fb0ca753866c205849505d46402f59e6546b6aa5da7f53cdb54b31c0c441a586b40559fc9489e627ad5_1280.jpg
erratic,"{'Adjective': ['liable to sudden unpredictable change', 'having no fixed course', 'likely to perform unpredictably']}",https://pixabay.com/get/g917bd6a31206f3d8917894beac0c3aa19a41e0f1e5eccd97f73f4bd30f2d2c0790a0ad1857fa44220c25ff57e6393288259ee31ea2422085e4db5b2b1f58bcac_1280.jpg
erudite,{'Adjective': ['having or showing profound knowledge']},
espouse,"{'Verb': ['choose and follow; as of theories, ideas, policies, strategies or plans', 'take in marriage', ""take up the cause, ideology, practice, method, of someone and use it as one's own""]}",
etiquette,{'Noun': ['rules governing socially acceptable behavior']},https://pixabay.com/get/g59c07fc4af69ec447131ceead9bb90271d1fe222b15e87c3dbdfb0e03cad14144a1b4bdc3048e85559f8c42ae41791d73c688ecab2a44139465be2dada0abc37_1280.jpg
s,"{'Noun': [""1/60 of a minute; the basic unit of time adopted under the Systeme International d'Unites"", 'an abundant tasteless odorless multivalent nonmetallic element; best known in yellow crystals; occurs in many sulphide and sulphate minerals and even in native form (especially in volcanic regions', 'the cardinal compass point that is at 180 degrees', 'a unit of conductance equal to the reciprocal of an ohm', 'the 19th letter of the Roman alphabet', '(thermodynamics']}",https://pixabay.com/get/gf515bef6395a8c366d574716348d44620bb18c63eecdf2b7295ab83e27f56eea54062d2482f9aeb5cb80f51ade19e386099a02d12614a4a195741ece47f335f4_1280.jpg
eulogy,"{'Noun': ['a formal expression of praise for someone who has died recently', 'a formal expression of praise']}",https://pixabay.com/get/g4a225e74903c5823c4efacfe9ae16f7603e0b9299a4dd286396dc455a00f08740d56771c28bd830957a9bcb23851c7920bfac83e0589b654b53269cc1ec14be6_1280.jpg
euphoria,{'Noun': ['a feeling of great (usually exaggerated']},https://pixabay.com/get/g195607f3fed5700c2be0f2f88d7e44bd8b96efe096575594c87c53ac2ba584190e311581641b060bef20ce09d3f2188bb9676dbcda83fb82523f6f93aeb1884c_1280.jpg
euthanasia,{'Noun': ['the act of killing someone painlessly (especially someone suffering from an incurable illness']},https://pixabay.com/get/gd3d29b5c49c461156936382904a3cc47b7efffeda52d5131b7b1284b71f8c29a8122689f98c4f432a99413b0e61c630a9b08e495b1a280d92c575b67901a02f2_1280.jpg
evasive,"{'Adjective': ['deliberately vague or ambiguous', 'avoiding or escaping from difficulty or danger especially enemy fire']}",https://pixabay.com/get/gc61d84a8881ee53a14ac81da5145c3aa57fad137be0098099fbc716e06f8ef63079987e5949c8ee40284ce3a3d3c7a5d27753671b63594ce1893d2db11d59118_1280.jpg
avoke,,
cxasperale,,
excerpt,"{'Noun': ['a passage selected from a larger work'], 'Verb': ['take out of a literary work in order to cite or copy']}",https://pixabay.com/get/g1390d3c0868b039ff06b8340160df0be2bbc92a373cfdbe1ff387afd85fd2a04f19ccc5687880576fd9f99e49094f4e329f392ab077718cdd0f818cd8ab242ad_1280.jpg
exhaustive,{'Adjective': ['performed comprehensively and completely; not superficial or partial']},https://pixabay.com/get/g3fcf233062c59baac63b5991113b221e5dd58020136e7100f242aab80f8b1ae2a110b29463b4ffbfec3fa2979ed16436e09728c09084bb23198937e4c4b484a2_1280.jpg
exigency,"{'Noun': ['a pressing or urgent situation', 'a sudden unforeseen crisis (usually involving danger']}",
exorbitant,{'Adjective': ['greatly exceeding bounds of reason or moderation']},https://pixabay.com/get/g3b3e6d8e8dcb8d545fa0cd1b8a7c27c04ce77a528708ed8936904a01747d8f7b47c88ba1e005065d20b558bc3155b6f020c2951588c868e3cf302fbd7b25906b_1280.jpg
expedient,"{'Noun': ['a means to an end; not necessarily a principled or ethical one'], 'Adjective': ['serving to promote your interest', 'appropriate to a purpose; practical']}",
exploit,"{'Noun': ['a notable achievement'], 'Verb': [""use or manipulate to one's advantage"", 'draw from; make good use of', 'work excessively hard']}",https://pixabay.com/get/g57feb6e707447018c67ae6d0a1f580cee6629449c6f6f1c253478d65436ffa370d76515e457e52fcb709cee8361e6d02a1a9302cb3f7a4f7cb383e89c00b5157_1280.jpg
extempore,"{'Adjective': ['with little or no preparation or forethought'], 'Adverb': ['without prior preparation']}",
extinct,"{'Adjective': ['no longer in existence; lost or especially having died out leaving no living representatives', '(of e.g. volcanos', 'being out or having grown cold']}",https://pixabay.com/get/g39943d8f787a6b98dbb77243f9482b8fcb8854949980997deb5266dbcce8d47102ad1cb38827bc7046973439f83c80dfaa3ed46d44f6bd9cab320d7b8bcba736_1280.jpg
extinguish,"{'Verb': ['put an end to; kill', 'put out, as of fires, flames, or lights', 'extinguish by crushing', 'terminate, end, or take out', 'kill in large numbers']}",https://pixabay.com/get/g4e22671fb8d6633d5351f5f8fb556fc9e1184f0728004624da9d8a8cb924ba6f124ba9fe5be1f0507936df987fedd8c36b3082abe7692ab12f5de4e4c26557b2_1280.jpg
extol,"{'Verb': ['praise, glorify, or honor']}",
extor,,
extroverc,,
fallacious,"{'Adjective': ['containing or based on a fallacy', 'intended to deceive', 'based on an incorrect or misleading notion or information']}",
falter,"{'Noun': ['the act of pausing uncertainly'], 'Verb': ['be unsure or weak', 'move hesitatingly, as if about to give way', 'walk unsteadily', 'speak haltingly']}",https://pixabay.com/get/g4ced30a6c303abb6ed254f91d302133b339ec84db47b523a5cd510c5c1f78b2d4852c24892af747df4ff08951e6b390991275012922ad3215ac34f0c1e9596bc_1280.jpg
fanciful,"{'Adjective': ['indulging in or influenced by fancy', 'not based on fact; existing only in the imagination', 'having a curiously intricate quality']}",https://pixabay.com/get/g032ca70aeee09ffafbe2447e7cd6ce7cda40c6b0be79e81169d66c54e5edad53e1d6c4ba51ede58f7c2421cd8b8a8c980e85846acb6eb27cdd34183d7a6b572c_1280.jpg
tawn,,
toign,,
felon,"{'Noun': ['someone who has committed a crime or has been legally convicted of a crime', 'a purulent infection at the end of a finger or toe in the area surrounding the nail']}",https://pixabay.com/get/g222738d6da8cf6bbe8ad3857bbad16c7c64ffc4e287fb4a619ace1190342d385d02de947cd86c7e4ed0958deacceff6f4b9cc395705f7a48c230b2288365e804_1280.jpg
emnur,,
ferment,"{'Noun': ['a state of agitation or turbulent change or development', 'a substance capable of bringing about fermentation', 'a process in which an agent causes an organic substance to break down into simpler substances; especially, the anaerobic breakdown of sugar into alcohol'], 'Verb': ['be in an agitated or excited state', 'work up into agitation or excitement', 'cause to undergo fermentation', 'go sour or spoil']}",https://pixabay.com/get/g2335bab67599441aea1535b743919cb77235cffab52e7c314e20c3fbd03c2fcf8dde3c2d108897d828698d945853ed4302bda314b55f4b0b694e70b4f43f4e52_1280.jpg
icrocity,,
enor,,
feud,"{'Noun': ['a bitter quarrel between two parties'], 'Verb': ['carry out a feud']}",https://pixabay.com/get/g6339b971bbcf5f85d764e440953b4b334833a62057c162e35127099f9a4bab284e8f070cb200fb9d0958fbce1d306647c231aa9f7d1f4b37c766396898982e9a_1280.jpg
fidelity,"{'Noun': ['accuracy with which an electronic system reproduces the sound or image of its input signal', 'the quality of being faithful']}",https://pixabay.com/get/g6bf8826e17f1a46314dc2c692ce9a12a1b819dfd9977e0eac03320a4a62f6ab72e054c65bd6fdd9762546bf96f4171f83604417dfe4fb2835b712fedcda2c549_1280.jpg
fidget,"{'Noun': ['a feeling of agitation expressed in continual motion'], 'Verb': ['move restlessly']}",https://pixabay.com/get/gf63408cdd86bdacfc1279b4a56b32ed8297f55d795757c989ce977b49bafaa6e488846661b2e2e2d65a8b1a2fc98ea6b98b2739ef8ec76e78d7f163f57b656f3_1280.jpg
figurehead,"{'Noun': ['a person used as a cover for some questionable activity', 'figure on the bow of some sailing vessels']}",https://pixabay.com/get/gafcdbcc7265ddeba308087a7afb9db7d59879bef429d4dbbaa49ad3a576585e741d94ff4eb31a89a42d6ffe8a6b2016661a34e067faf2df2d228dd8e7d70ca9d_1280.jpg
finesse,{'Noun': ['subtly skillful handling of a situation']},https://pixabay.com/get/g977ada38962f9886a4aabd22b7af5c3413f26d17e369fe9f3e7adf27d611f4828cd72ac83363ea2e568e9eb62a062ab3f5cf8a1c24effe5b12cd04f39f8a1c54_1280.jpg
finical,{'Adjective': ['exacting especially about details']},
finicky,{'Adjective': ['exacting especially about details']},https://pixabay.com/get/g1165a4b203d6090a6751b1924968bee17192f92a96535dacf1b16fd5c0ef00f120aee52e2a3cfed6eb820c0449a36bfd1c958611392a2bd385db46c7870a5f0f_1280.jpg
fission,"{'Noun': ['reproduction of some unicellular organisms by division of the cell into two more or less equal parts', 'a nuclear reaction in which a massive nucleus splits into smaller nuclei with the simultaneous release of energy']}",https://pixabay.com/get/g2cb41dd1bca7bbdf30c3a3c23da6746011f1f6c2275cdbe64c5ae5e7594a64c485970fa21b58043c403410d40a76f54fdd1ca9c09660be3b4fa88959af50fccf_1280.jpg
flak,"{'Noun': ['a slick spokesperson who can turn any criticism to the advantage of their employer', 'intense adverse criticism', 'artillery designed to shoot upward at airplanes']}",https://pixabay.com/get/g8401624c6d0506c6c04316aaf8ea8811f2d8b793502720ab5960bfe4515bc057bc15c94b8967d919f583785b8b40cd93febd8ef556241d5ce034e3a8123f3316_1280.jpg
flamboyant,"{'Noun': ['showy tropical tree or shrub native to Madagascar; widely planted in tropical regions for its immense racemes of scarlet and orange flowers; sometimes placed in genus Poinciana'], 'Adjective': ['marked by ostentation but often tasteless', 'elaborately or excessively ornamented']}",https://pixabay.com/get/gc93e0d46bba09703785c0c5d2dcba3c6fca06c2b4cce022088eeb1c29862d41f6684950bb123b4406ec6cdb58a76d3e0f9b5b4b92bf9db3927a06f9b39ad4e3c_1280.jpg
flaunting,{'Verb': ['display proudly; act ostentatiously or pretentiously']},https://pixabay.com/get/g76c7cdedb9b76d5a11fff5acf454686676bf3253b53c387582422ee0d2b6f7797f9452fd5241227b93fdad60e759f64c9e0e35dde434ea1ae51e6dad1ef4e240_1280.jpg
flax,"{'Noun': ['fiber of the flax plant that is made into thread and woven into linen fabric', 'plant of the genus Linum that is cultivated for its seeds and for the fibers of its stem']}",https://pixabay.com/get/gb33b4ba4a46e243be4e5131560990b21ae897a0df04d9d24878b78fbedc41d4c6068cc51f47a23738bee848188f59f646f1707755eaa4051644b8b85366e1b39_1280.jpg
fleet,"{'Noun': ['group of aircraft operating together under the same ownership', 'group of motor vehicles operating together under the same ownership', 'a group of steamships operating together under the same ownership', 'a group of warships organized as a tactical unit'], 'Verb': ['move along rapidly and lightly; skim or dart', 'disappear gradually'], 'Adjective': ['moving very fast']}",https://pixabay.com/get/g96625a1e8d0d0f3196899059edddda283a81f43f61f5c381176f0c4538551ffaf6de1560c07728f6300e0293b06e9fc2930712652be1f7da4a8b25af3dceeb3b_1280.jpg
flop,"{'Noun': ['an arithmetic operation performed on floating-point numbers', 'someone who is unsuccessful', 'a complete failure', 'the act of throwing yourself down'], 'Verb': ['fall loosely', 'fall suddenly and abruptly', 'fail utterly; collapse'], 'Adverb': ['with a flopping sound', 'exactly']}",https://pixabay.com/get/g1b830a134d57da23b34b72e79eb55e142c75a8dc8eb75a079980cfc75f815c05f2602fa29b985c083628ce18aaa458b3eb11f1d6c4e76f00fade4795c8b99ef7_1280.jpg
florid,"{'Adjective': ['elaborately or excessively ornamented', 'inclined to a healthy reddish color often associated with outdoor life']}",https://pixabay.com/get/gabc6767056e2adf64055a84084364b3bcc259ba51e0d310246746881ed8bc660228debc370f5c798bd763179619b3203925b473bcccb94bfdcfea30abcc4542d_1280.jpg
flout,"{'Verb': ['treat with contemptuous disregard', 'laugh at with contempt and derision']}",https://pixabay.com/get/gbe2eedf8022281f725af9e8c358e91db865ac3fe587711b10128118973f0cc3c1076ea49bf9148dedb7f6c0da61690dc943b36a523946bb7169caac07af717ec_1280.jpg
fluke,"{'Noun': ['a stroke of luck', 'a barb on a harpoon or arrow', 'flat bladelike projection on the arm of an anchor', 'either of the two lobes of the tail of a cetacean', 'parasitic flatworms having external suckers for attaching to a host']}",https://pixabay.com/get/g2dd2beea07e85ffaa722bb97a4794951920d0ff36152f93913d8a1b9ce809f4003abfa10ad81d0badc8c7da8ed6c4978_1280.jpg
fluster,"{'Noun': ['a disposition that is confused or nervous and upset'], 'Verb': ['be flustered; behave in a confused manner', 'cause to be nervous or upset']}",
foil,"{'Noun': ['a piece of thin and flexible sheet metal', ""anything that serves by contrast to call attention to another thing's good qualities"", 'a device consisting of a flat or curved piece (as a metal plate', 'picture consisting of a positive photograph or drawing on a transparent base; viewed with a projector', 'a light slender flexible sword tipped by a button'], 'Verb': ['enhance by contrast', 'hinder or prevent (the efforts, plans, or desires', 'cover or back with foil']}",https://pixabay.com/get/gc1c6dc7d1df3866899e84f2a4ccba2a2a1e1859dfcd2797c246b74e87eabad40640af4995b421dccb10f42f971b80e958b87f13bf9efb765657fe429e5da83ef_1280.jpg
toment,,https://pixabay.com/get/gc723697919d144446998e35be165e97a770301a3769fad642c955b0bb636862f63f967b5186fa2c2cf6b2a8ff62fa2d8_1280.jpg
foolproof,"{'Verb': ['proof against human misuse or error'], 'Adjective': ['not liable to failure']}",https://pixabay.com/get/gd52aa96e038c4b971f655abed2c5c3194db536fa3b862808f97371cace4e8c9abfab177891313a4cf42ec0c094ba45fcc9eb8171ddcf087ec6218b61481b4d2f_1280.jpg
forbear,"{'Noun': ['a person from whom you are descended'], 'Verb': ['refrain from doing', 'resist doing something']}",
ordcarnce,,
torensic,,
forerunner,"{'Noun': ['a person who goes before or announces the coming of another', 'something that precedes and indicates the approach of something or someone', 'anything that precedes something similar in time']}",
forfeit,"{'Noun': ['something that is lost or surrendered as a penalty', 'a penalty for a fault or mistake that involves losing or giving up something', 'the act of losing or surrendering something as a penalty for a mistake or fault or failure to perform etc.'], 'Verb': ['lose (s.th.'], 'Adjective': ['surrendered as a penalty']}",https://pixabay.com/get/gca684f88c66a75b7f866ee2feef77e788ba9cc45a5107a8d10bdccd9193b45f642dee41e33d26f8ed0f68ee1333fc426eaa782cdd6344a292f37bf14e442b037_1280.jpg
forge,"{'Noun': ['furnace consisting of a special hearth where metal is heated before shaping', 'a workplace where metal is worked by heating and hammering'], 'Verb': ['create by hammering', 'make a copy of with the intent to deceive', 'come up with (an idea, plan, explanation, theory, or principle', 'move ahead steadily', 'move or act with a sudden increase in speed or energy', 'make something, usually for a specific function', 'make out of components (often in an improvising manner']}",https://pixabay.com/get/gfbec54f61c90e090a259fd9a1fd35caf468992393f132229abcd110d56b8cc0ef7f733c67cf9708bdc9c0adf044042fda7dd2f4d2fc8648956377dfe825ffff4_1280.jpg
forgery,"{'Noun': ['a copy that is represented as the original', 'criminal falsification by making or altering an instrument with intent to defraud']}",
fixate,"{'Verb': ['attach (oneself', 'pay attention to exclusively and obsessively', 'make fixed, stable or stationary', 'become fixed (on']}",https://pixabay.com/get/gcb15663fbb2aaee4a03876257c6cbb3b843b3ead63acef06e38e7893780656fe362992a24975f4e0ed305990c2896c672169358378cd041e1d46888e9ee8a610_1280.jpg
forte,"{'Noun': ['an asset of special worth or utility', 'a musical composition or musical passage to be performed loudly', 'the stronger part of a sword blade between the hilt and the foible'], 'Adjective': ['(used chiefly as a direction or description in music'], 'Adverb': ['used as a direction in music; to be played relatively loudly']}",https://pixabay.com/get/gd4e6c417aa4af23e61c3abc03071fc44bcce0ff1b9c613e8595dfec1516e378472e08d2245c006fd2ca427791e92efdf49361f04e7ef65b4fec5adceeb819612_1280.jpg
forthright,"{'Adjective': ['characterized by directness in manner or speech; without subtlety or evasion'], 'Adverb': ['directly and without evasion; not roundabout', 'or forthrightly']}",
foster,"{'Noun': ['United States songwriter whose songs embody the sentiment of the South before the American Civil War (1826-1864'], 'Verb': ['promote the growth of', 'bring up under fosterage; of children', 'help develop, help grow'], 'Adjective': ['providing or receiving nurture or parental care though not related by blood or legal ties']}",https://pixabay.com/get/g47fee086a1d99cda584c61693242629fa437cebefe33bbca172e66a165e51e9b0e9a5865a08c083540cac76803a0f7d2fb8b7d31b1f5695b9840fa658ea0b996_1280.jpg
fragile,"{'Adjective': ['easily broken or damaged or destroyed', 'vulnerably delicate', 'lacking substance or significance']}",https://pixabay.com/get/g76a16d6e2b392d01c91a7fb55d85ddb8c367f7c249a980f19983fc0f892ffdeb4547c7c55626f71687e3d7af038a78b9bce6779af828b268b62cdb0fb4789f7b_1280.jpg
frantic,"{'Adjective': ['excessively agitated; distraught with fear or other violent emotion', 'marked by uncontrolled excitement or emotion']}",https://pixabay.com/get/gd23203adf0f003851a33fc731192f3b608551bec562de4a985398c540e300307dd54a5d12b4e0f8f1af154d38b2df9e9_1280.jpg
fraternal,"{'Adjective': ['of or relating to a fraternity or society of usually men', '(of twins', 'like or characteristic of or befitting a brother']}",https://pixabay.com/get/g6b9e8f921e902e9a6f8bd1e77885a8894bae8b4f40f8e6fd5a9ba1f85c2e5a0a5351d07ad0c507128f063f4f1261ed7044bc1a4e7516738ecee783768b6359c6_1280.jpg
fraudulent,{'Adjective': ['intended to deceive']},https://pixabay.com/get/ga3d2109a8e829010fb4fc9310de7573be584e5c23290a2168bab6d6cfe11875ff17e38a84b9d33d9f8424f3a28461f4d02e316758447b5e4a6dd5c20271d082a_1280.jpg
fray,"{'Noun': ['a noisy fight'], 'Verb': ['wear away by rubbing', 'cause friction']}",https://pixabay.com/get/g092769aa3bbad7fa1dc2fa197ccb5c22b5c28020fddaf801f4c5c505156fd68ecc26ebd617a4802a75062da4131ada80959975ba2d5e8cafe531821cc97a2085_1280.jpg
frenzied,"{'Adjective': ['affected with or marked by frenzy or mania uncontrolled by reason', 'excessively agitated; distraught with fear or other violent emotion']}",https://pixabay.com/get/g48dcace2d23855ce32cf50704f35fa8f4090805edb1121dcb93e46546c23623919a84f38065bbdc342f46a85104187b36dfdb274f4de1bcaebe6d362a9e076c5_1280.jpg
fret,"{'Noun': ['agitation resulting from active worry', 'a spot that has been worn away by abrasion or erosion', 'an ornamental pattern consisting of repeated vertical and horizontal lines (often in relief', 'a small bar of metal across the fingerboard of a musical instrument; when the string is stopped by a finger at the metal bar it will produce a note of the desired pitch'], 'Verb': ['worry unnecessarily or excessively', 'be agitated or irritated', 'provide (a musical instrument', 'become or make sore by or as if by rubbing', 'cause annoyance in', 'gnaw into; make resentful or angry', 'carve a pattern into', 'decorate with an interlaced design', 'be too tight; rub or press', 'cause friction', 'remove soil or rock', 'wear away or erode']}",https://pixabay.com/get/g959ed407e8482d72beea5c67ea2460366be7edf19bdcbd839f26e883ef33e014cc32333dafedecd943e9b88f69e940bf69ff67219442cba421957ca350984145_1280.jpg
frolicsome,{'Adjective': ['given to merry frolicking']},
frugal,{'Adjective': ['avoiding waste']},https://pixabay.com/get/g6984221d4447309de767394b26f985715dd6d3940eec1374856cbb195b6b25d3d4d89063eb357c1f859735c0d139eddb1a75d95fac50fb9dcf4c218f7c61e794_1280.jpg
futile,"{'Adjective': ['producing no result or effect', 'unproductive of success']}",https://pixabay.com/get/g3438a91f66cfa7821ef9845f306133322ad6f71b76ff1e2a09fe2aed21efa3ed5f5c8909fd23d7b0969d60c8d97586901c46f49de43aac584702af9ce9573595_1280.jpg
gala,{'Noun': ['a gay festivity']},https://pixabay.com/get/g64e03261bd932bf25e41e32367ef0d7c0e024dd3aaee40c7bd12ce60517edd1d412c1ea656b48850ab62a7de8d8d64a9b88fe533ae310fd3780cf85d6debdd62_1280.jpg
gale,{'Noun': ['a strong wind moving 45-90 knots; force 7 to 10 on Beaufort scale']},https://pixabay.com/get/gaee4358cc45efb5786fd0723f43561dfcf517430b50f43cb662c124f34fecef8b1fb563d7950d5cdf2e8cd8e59d93305a550edbbbbfada7f38201876f3931bc5_1280.jpg
gallant,"{'Noun': ['a man who is much concerned with his dress and appearance', 'a man who attends or escorts a woman'], 'Adjective': ['unflinching in battle or action', 'lively and spirited', 'having or displaying great dignity or nobility', 'being attentive to women like an ideal knight']}",https://pixabay.com/get/g41b85ef9009e1ae362441bd20c82d67da54133af83a7179b7fb32da64dfb200085b831c539fe42c17fa27719dfc169847857bacc68c7ad9bbc5c78a13026a4f0_1280.jpg
gallivant,{'Verb': ['wander aimlessly in search of pleasure']},
galvanise,"{'Verb': ['to stimulate to action', 'cover with zinc', 'stimulate (muscles']}",https://pixabay.com/get/ga08c45befb1d8e5d7769ddb53d5e8959ad0e4a6b7b63378881c97315232ae47808797c903d7ce69f7c9a8fda03c502bae089e0ac5a7b734bebdafd6114d5e933_1280.jpg
gambot,,
gamut,{'Noun': ['the entire scale of musical notes']},
gape,"{'Noun': ['an expression of openmouthed astonishment', 'a stare of amazement (usually with the mouth open'], 'Verb': ['look with amazement; look stupidly', 'be wide open']}",https://pixabay.com/get/gc288879fd7e90d713b12395badb71950cb9a180334082e9d859677171207269b7e9a11d9c4182eda3caeb0566361d36ad7044091cecd0717f6bfba8c0e37d00b_1280.jpg
fringe,"{'Noun': ['the outside boundary or surface of something', 'a part of the city far removed from the center', 'one of the light or dark bands produced by the interference and diffraction of light', 'a social group holding marginal or extreme views', 'a border of hair that is cut short and hangs across the forehead', 'an ornamental border consisting of short lengths of hanging threads or tassels'], 'Verb': ['adorn with a fringe', 'decorate with or as if with a surrounding fringe']}",https://pixabay.com/get/gfefaf30602101916e1cb8b3929d13f63821bddd86a0a15f387093e9a0f2ef3d441c78aa65a609acce9bef107a377097ab29955a8ad3211c94cfd8b0cf82b6746_1280.jpg
garish,{'Adjective': ['tastelessly showy']},https://pixabay.com/get/gef26e99f3b1907adc02ac9df57fc2c56bbafccf6303ed9195939fb22177ab9e0b865fc027350ee348084693b897a60ddce24454626ec9e23972d4fa88c3b784c_1280.jpg
garent,,
garnish,"{'Noun': ['something (such as parsley', 'any decoration added as a trimming or adornment'], 'Verb': [""take a debtor's wages on legal orders, such as for child support"", 'decorate (food']}",https://pixabay.com/get/gabb52b2af303ab80219ef83fbe456b7fb352b8b0e5c794de98074c8d0513e4782fd4d6dac0788a5a085b83c93d10a871595155a8ec4c570ddacf58b244666236_1280.jpg
gasket,{'Noun': ['seal consisting of a ring for packing pistons or sealing a pipe joint']},https://pixabay.com/get/g2f065fa477d91c09d141248095b51da8d2b0c2d77bba4897ea4cbb4a24e72e9573c6a51b0134b846a8dcae137a08b97d2b7876d70dc063013284e933d03f4925_1280.jpg
dusp,,
gawk,"{'Noun': ['an awkward stupid person'], 'Verb': ['look with amazement; look stupidly']}",
gawky,{'Adjective': ['lacking grace in movement or posture']},
generic,"{'Noun': ['wine that does not meet the minimum qualifications and standards for use of a designation by appellation of origin (where the grapes are grown', 'made-up', ""such as `vin rouge', `vino rosso', `rotwein', `red wine', etc."", ""as `vin ordinaire', `vin de table', `vino da tavola', `tafelwein', `table wine', etc."", 'any product that can be sold without a brand name'], 'Adjective': ['relating to or common to or descriptive of all members of a genus', '(of drugs', 'applicable to an entire class or group']}",
genteel,{'Adjective': ['marked by refinement in taste and manners']},
gentry,{'Noun': ['the most powerful members of a society']},
gesticulate,"{'Verb': ['show, express or direct through movement']}",
gibe,"{'Noun': ['an aggressive remark directed at a person like a missile and intended to have a telling effect'], 'Verb': ['be compatible, similar or consistent; coincide in their characteristics', 'laugh at with contempt and derision']}",
gild,"{'Noun': ['a formal association of people with similar interests'], 'Verb': ['decorate with, or as if with, gold leaf or liquid gold']}",
girth,"{'Noun': [""the distance around a person's body"", ""stable gear consisting of a band around a horse's belly that holds the saddle in place""], 'Verb': ['tie a cinch around']}",
gist,"{'Noun': ['the central meaning or theme of a speech or literary work', 'the choicest or most essential or most vital part of some idea or experience']}",
qleam,,
glib,"{'Adjective': ['marked by lack of intellectual depth', 'having only superficial plausibility', 'artfully persuasive in speech']}",
gllmmer,,
gloss,"{'Noun': ['an explanation or definition of an obscure word in a text', 'an alphabetical list of technical terms in some specialized field of knowledge; usually published as an appendix to a text on that field', 'the property of being smooth and shiny', 'an outward or token appearance or form that is deliberately misleading'], 'Verb': ['give a shine or gloss to, usually by rubbing', 'provide interlinear explanations for words or phrases', 'provide an interlinear translation of a word or phrase', 'give a deceptive explanation or excuse for']}",
gnarled,"{'Verb': ['twist into a state of deformity', ""make complaining remarks or noises under one's breath""], 'Adjective': ['used of old persons or old trees; covered with knobs or knots']}",
anav,,
goad,"{'Noun': ['a pointed instrument that is used to prod into a state of motion', 'a verbalization that encourages you to attempt something'], 'Verb': ['give heart or courage to', 'urge with or as if with a goad', 'stab or urge on as if with a pointed stick', 'annoy or provoke, as by constant criticism']}",
gorge,"{'Noun': ['a deep ravine (usually with a river running through it', 'a narrow pass (especially one between mountains', 'the passage between the pharynx and the stomach'], 'Verb': ['overeat or eat immodestly; make a pig of oneself']}",
ouge,,
gavt,,
gravel,"{'Noun': ['rock fragments and pebbles'], 'Verb': ['cause annoyance in; disturb, especially by minor irritations', 'cover with gravel', 'be a mystery or bewildering to']}",
graze,"{'Noun': ['a superficial abrasion', 'the act of grazing'], 'Verb': ['feed as in a meadow or pasture', 'break the skin (of a body part', 'let feed in a field or pasture or meadow', 'scrape gently', 'eat lightly, try different dishes']}",
